iter	Passed	Remaining
396	6354	9652
397	6383	9654
398	6387	9620
399	6402	9603
400	6414	9582
401	6418	9548
402	6432	9528
403	6436	9495
404	6450	9476
405	6465	9459
406	6485	9449
407	6502	9435
408	6518	9418
409	6649	9568
410	6665	9551
411	6680	9534
412	6685	9501
413	6699	9483
414	6713	9463
415	6718	9431
416	6733	9414
417	6747	9394
418	6750	9361
419	6764	9340
420	6775	9317
421	6780	9287
422	6791	9264
423	6813	9256
424	6827	9237
425	6841	9218
426	7063	9478
427	7124	9521
428	7135	9497
429	7139	9464
430	7143	9430
431	7156	9409
432	7163	9379
433	7170	9351
434	7174	9318
435	7186	9295
436	7189	9262
437	7201	9239
438	7206	9208
439	7216	9185
440	7220	9152
441	7227	9124
442	7235	9097
443	7239	9065
444	7270	9067
445	7301	9069
446	7310	9044
447	7822	9638
448	8702	10679
449	8752	10697
450	8774	10681
451	8790	10658
452	8804	10631
453	8852	10646
454	8878	10634
455	8892	10608
456	8911	10588
457	9042	10701
458	9099	10725
459	9110	10694
460	9148	10696
461	9163	10670
462	9398	10900
463	9422	10884
464	9438	10859
465	9444	10822
466	9461	10798
467	9471	10766
468	9485	10739
469	9498	10710
470	9509	10680
471	9514	10643
472	9520	10606
473	9524	10568
474	9527	10530
475	9531	10492
476	9536	10456
477	9540	10418
478	9544	10381
479	9549	10345
480	9554	10309
481	9561	10275
482	9573	10247
483	9577	10210
484	9583	10175
485	9587	10140
486	9591	10103
487	9595	10067
488	9603	10035
489	9642	10036
490	9672	10027
491	9689	10004
492	9701	9976
493	9717	9953
494	9725	9921
495	9735	9892
496	9740	9858
497	9756	9834
498	9778	9817
499	9837	9837
500	9856	9817
501	9957	9878
502	9983	9864
503	10011	9852
504	10017	9819
505	10021	9783
506	10030	9753
507	10034	9718
508	10045	9690
509	10050	9656
510	10054	9621
511	10060	9589
512	10065	9555
513	10082	9533
514	10094	9506
515	10105	9478
516	10133	9466
517	10143	9438
518	10150	9407
519	10157	9376
520	10164	9345
521	10168	9311
522	10177	9282
523	10277	9335
524	10295	9315
525	10480	9444
526	10553	9472
527	10572	9451
528	10583	9422
529	10661	9454
530	10684	9437
531	10698	9411
532	10722	9394
533	10740	9372
534	10760	9352
535	10771	9324
536	11438	9862
537	11446	9829
538	11462	9803
539	11480	9779
540	11484	9743
541	11490	9709
542	11495	9675
543	11500	9640
544	11504	9604
545	11508	9568
546	11512	9534
547	11516	9498
548	11520	9464
549	11525	9429
550	11528	9394
551	11532	9359
552	11536	9325
553	11541	9291
554	11545	9257
555	11549	9223
556	11553	9189
557	11560	9157
558	11565	9123
559	11570	9090
560	11573	9057
561	11578	9023
562	11582	8990
563	11588	8958
564	11599	8930
565	11607	8900
566	11616	8871
567	11620	8838
568	11624	8805
569	11628	8772
570	11633	8740
571	11637	8707
572	11641	8675
573	11645	8643
574	11651	8611
575	11658	8581
576	11662	8549
577	11667	8518
578	11671	8486
579	11675	8454
580	11681	8424
581	11684	8392
582	11689	8360
583	11692	8328
584	11696	8297
585	11700	8265
586	11704	8234
587	11707	8203
588	11711	8172
589	11716	8141
590	11720	8111
591	11724	8080
592	11728	8049
593	11732	8018
594	11736	7988
595	11739	7957
596	11743	7927
597	11747	7897
598	11755	7869
599	11760	7840
600	11764	7810
601	11769	7780
602	11773	7751
603	11777	7721
604	11781	7692
605	11784	7662
606	11788	7632
607	11793	7603
608	11796	7574
609	11800	7544
610	11808	7517
611	11838	7505
612	11873	7495
613	11888	7473
614	11914	7458
615	11919	7430
616	11923	7401
617	11927	7372
618	11932	7344
619	11935	7315
620	11939	7286
621	11944	7258
622	11948	7230
623	11952	7202
624	11955	7173
625	11959	7145
626	11967	7119
627	11976	7094
628	11992	7073
629	12000	7047
630	12003	7019
631	12008	6992
632	12012	6964
633	12016	6936
634	12020	6909
635	12023	6881
636	12027	6853
637	12031	6826
638	12035	6799
639	12039	6771
640	12043	6744
641	12047	6717
642	12051	6690
643	12054	6663
644	12058	6637
645	12066	6612
646	12070	6585
647	12074	6558
648	12078	6532
649	12082	6505
650	12085	6479
651	12089	6452
652	12093	6426
653	12097	6399
654	12100	6373
655	12104	6347
656	12108	6321
657	12111	6295
658	12115	6269
659	12120	6243
660	12123	6217
661	12127	6191
662	12130	6166
663	12134	6140
664	12138	6114
665	12142	6089
666	12146	6064
667	12150	6038
668	12155	6013
669	12163	5990
670	12167	5965
671	12171	5940
672	12175	5915
673	12179	5890
674	12183	5866
675	12187	5841
676	12191	5816
677	12195	5791
678	12198	5767
679	12202	5742
680	12206	5717
681	12216	5696
682	12223	5673
683	12227	5648
684	12231	5624
685	12237	5601
686	12241	5577
687	12245	5553
688	12249	5529
689	12253	5505
690	12257	5481
691	12266	5459
692	12273	5437
693	12278	5413
694	12281	5389
695	12288	5367
696	12295	5344
697	12301	5322
698	12344	5315
699	12353	5294
700	12369	5276
701	12373	5252
702	12377	5229
703	12381	5205
704	12385	5182
705	12389	5159
706	12393	5136
707	12397	5113
708	12401	5089
709	12404	5066
710	12408	5043
711	12413	5021
712	12417	4998
713	12420	4975
714	12424	4952
715	12429	4930
716	12434	4907
717	12438	4885
718	12442	4862
719	12446	4840
720	12450	4817
721	12463	4799
722	12470	4777
723	12486	4759
724	12490	4737
725	12494	4715
726	12498	4693
727	12502	4671
728	12506	4649
729	12511	4627
730	12514	4605
731	12518	4583
732	12522	4561
733	12527	4539
734	12530	4517
735	12535	4496
736	12539	4474
737	12544	4453
738	12547	4431
739	12551	4410
740	12555	4388
741	12582	4374
742	12602	4359
743	12611	4339
744	12622	4320
745	12632	4301
746	12640	4281
747	12643	4259
748	12647	4238
749	12651	4217
750	12655	4196
751	12665	4176
752	12707	4168
753	12722	4150
754	12729	4130
755	12741	4112
756	12750	4093
757	12764	4075
758	12771	4055
759	12802	4042
760	12836	4031
761	12848	4013
762	12886	4002
763	13082	4041
764	13150	4039
765	13197	4031
766	13218	4015
767	13222	3994
768	13230	3974
769	13234	3953
770	13237	3931
771	13242	3910
772	13247	3890
773	13251	3869
774	13258	3849
775	13263	3828
776	13267	3807
777	13273	3787
778	13278	3767
779	13283	3746
780	13287	3726
781	13296	3706
782	13306	3687
783	13318	3669
784	13393	3668
785	13701	3730
786	13744	3719
787	13820	3718
788	13833	3699
789	13848	3681
790	13852	3660
791	13863	3640
792	13870	3620
793	13879	3601
794	13890	3581
795	13905	3563
796	13914	3544
797	13919	3523
798	13924	3502
799	13928	3482
800	13933	3461
801	13937	3440
802	13941	3420
803	13945	3399
804	13949	3379
805	13953	3358
806	13959	3338
807	13963	3317
808	13971	3298
809	13977	3278
810	13981	3258
811	13985	3238
812	13989	3217
813	13994	3197
814	13999	3177
815	14004	3157
816	14009	3137
817	14013	3117
818	14019	3098
819	14023	3078
820	14027	3058
821	14032	3038
822	14036	3018
823	14042	2999
824	14047	2979
825	14052	2960
826	14057	2940
827	14060	2920
828	14065	2901
829	14071	2882
830	14081	2863
831	14085	2844
832	14089	2824
833	14095	2805
834	14099	2786
835	14104	2766
836	14110	2747
837	14114	2728
838	14119	2709
839	14123	2690
840	14131	2671
841	14135	2652
842	14139	2633
843	14143	2614
844	14148	2595
845	14152	2576
846	14158	2557
847	14163	2538
848	14168	2519
849	14173	2501
850	14179	2482
851	14184	2463
852	14189	2445
853	14193	2426
854	14197	2407
855	14202	2389
856	14207	2370
857	14210	2351
858	14214	2333
859	14218	2314
860	14221	2295
861	14226	2277
862	14232	2259
863	14240	2241
864	14245	2223
865	14249	2204
866	14254	2186
867	14258	2168
868	14262	2149
869	14268	2132
870	14273	2113
871	14276	2095
872	14281	2077
873	14285	2059
874	14289	2041
875	14293	2023
876	14297	2005
877	14301	1987
878	14307	1969
879	14311	1951
880	14317	1933
881	14321	1915
882	14326	1898
883	14331	1880
884	14335	1862
885	14340	1845
886	14344	1827
887	14349	1809
888	14354	1792
889	14359	1774
890	14364	1757
891	14369	1739
892	14373	1722
893	14395	1706
894	14400	1689
895	14458	1678
896	14467	1661
897	14474	1644
898	14486	1627
899	14493	1610
900	14500	1593
901	14508	1576
902	14515	1559
903	14534	1543
904	14544	1526
905	14552	1509
906	14566	1493
907	14576	1476
908	14586	1460
909	14595	1443
910	14603	1426
911	14607	1409
912	14612	1392
913	14615	1375
914	14623	1358
915	14632	1341
916	15022	1359
917	15119	1350
918	15140	1334
919	15143	1316
920	15148	1299
921	15151	1281
922	15156	1264
923	15160	1246
924	15166	1229
925	15172	1212
926	15176	1195
927	15180	1177
928	15184	1160
929	15188	1143
930	15193	1126
931	15197	1108
932	15201	1091
933	15205	1074
934	15231	1058
935	15238	1041
936	15243	1024
937	15248	1007
938	15252	990
939	15257	973
940	15261	956
941	15265	939
942	15269	923
943	15273	906
944	15285	889
945	15306	873
946	15314	857
947	15321	840
948	15328	823
949	15332	806
950	15336	790
951	15340	773
952	15344	756
953	15350	740
954	15357	723
955	15361	707
956	15365	690
957	15371	673
958	15374	657
959	15379	640
960	15383	624
961	15387	607
962	15390	591
963	15395	574
964	15399	558
965	15405	542
966	15411	525
967	15415	509
968	15419	493
969	15423	477
970	15426	460
971	15431	444
972	15435	428
973	15440	412
974	15502	397
975	15507	381
976	15514	365
977	15524	349
978	15531	333
979	15534	317
980	15538	300
981	15542	284
982	15545	268
983	15550	252
984	15553	236
985	15556	220
986	15560	204
987	15564	189
988	15568	173
989	15572	157
990	15576	141
991	15579	125
992	15583	109
993	15587	94
994	15591	78
995	15594	62
996	15598	46
997	15602	31
998	15606	15
999	15609	0
