iter	RMSE
133	4.837682579
134	4.820286176
135	4.787014229
136	4.77247883
137	4.763770258
138	4.728771764
139	4.714869183
140	4.702313074
141	4.686758057
142	4.683430993
143	4.665694506
144	4.653919593
145	4.633766874
146	4.600404502
147	4.5845059
148	4.567697065
149	4.553387872
150	4.541860931
151	4.529544372
152	4.518036549
153	4.494406151
154	4.477271668
155	4.465739152
156	4.453963519
157	4.436085929
158	4.421347612
159	4.411716094
160	4.40884094
161	4.386015069
162	4.375641223
163	4.368155362
164	4.35626046
165	4.344922306
166	4.332984595
167	4.32098788
168	4.306515291
169	4.288407101
170	4.274269858
171	4.265142687
172	4.263025066
173	4.237028325
174	4.223381862
175	4.212520374
176	4.204047254
177	4.189646218
178	4.187660902
179	4.180700166
180	4.167916156
181	4.157540243
182	4.149747641
183	4.13834085
184	4.11992796
185	4.107199089
186	4.096850445
187	4.086672994
188	4.079058641
189	4.06756597
190	4.059781846
191	4.043543838
192	4.033403026
193	4.022101556
194	3.99525868
195	3.986950486
196	3.964453008
197	3.954393958
198	3.936144897
199	3.927107505
200	3.918150869
201	3.903811856
202	3.898602955
203	3.8847122
204	3.875004695
205	3.86410177
206	3.853961524
207	3.841869349
208	3.837340181
209	3.829357983
210	3.814017211
211	3.805138932
212	3.794012461
213	3.785251797
214	3.778270927
215	3.773096507
216	3.764203341
217	3.75395328
218	3.745038307
219	3.729098795
220	3.715679882
221	3.707521599
222	3.689048976
223	3.678704676
224	3.669177399
225	3.658099666
226	3.651205969
227	3.646764213
228	3.637491946
229	3.63078176
230	3.618482358
231	3.610431861
232	3.602060718
233	3.594651359
234	3.586974457
235	3.580180765
236	3.576231319
237	3.563199664
238	3.551452839
239	3.54538081
240	3.537460661
241	3.530187901
242	3.51879848
243	3.508147131
244	3.503965563
245	3.497939961
246	3.49149902
247	3.483693905
248	3.472823208
249	3.466810775
250	3.460505774
251	3.454223704
252	3.444849386
253	3.43769315
254	3.426933192
255	3.41960564
256	3.412925041
257	3.407682784
258	3.400982602
259	3.394947976
260	3.389810512
261	3.377340283
262	3.372298194
263	3.362907889
264	3.356357992
265	3.351742818
266	3.344280066
267	3.334076839
268	3.32777537
269	3.321064101
270	3.316206142
271	3.308904395
272	3.305350255
273	3.300485867
274	3.290048447
275	3.282642629
276	3.277967199
277	3.271706701
278	3.266637597
279	3.258811403
280	3.250342495
281	3.242211492
282	3.234012907
283	3.228620971
284	3.225520197
285	3.220217794
286	3.215410456
287	3.212341441
288	3.207454092
289	3.200108716
290	3.196575396
291	3.194681343
292	3.187570972
293	3.181782341
294	3.176822663
295	3.171809675
296	3.162552513
297	3.159742411
298	3.15715416
299	3.152030059
300	3.144065023
301	3.134756727
302	3.131796851
303	3.130222794
304	3.125569373
305	3.120797715
306	3.115485703
307	3.110508098
308	3.102202427
309	3.097397618
310	3.093286544
311	3.088106452
312	3.086543331
313	3.083571727
314	3.078366129
315	3.073287346
316	3.066321625
317	3.06292266
318	3.060816369
319	3.057199128
320	3.051257643
321	3.045297581
322	3.039191959
323	3.034560854
324	3.032419814
325	3.02649066
326	3.023859332
327	3.021633627
328	3.019163019
329	3.01497935
330	3.011390052
331	3.005282332
332	3.00115339
333	2.995181155
334	2.989164793
335	2.984512855
336	2.979755012
337	2.975467847
338	2.973082828
339	2.968690762
340	2.965919961
341	2.961645917
342	2.957842856
343	2.952805334
344	2.946659649
345	2.940837147
346	2.935394179
347	2.933718632
348	2.928040014
349	2.923285353
350	2.91994895
351	2.917974771
352	2.913465855
353	2.910516651
354	2.905365245
355	2.903110492
356	2.899553897
357	2.894666332
358	2.890802528
359	2.886864449
360	2.885265975
361	2.880270643
362	2.875270371
363	2.868885593
364	2.863235709
365	2.859131964
366	2.856766457
367	2.85233458
368	2.849670381
369	2.845376598
370	2.841386713
371	2.837149046
372	2.832951575
373	2.829510925
374	2.825416684
375	2.820252356
376	2.816254103
377	2.812243078
378	2.809050479
379	2.804397957
380	2.80081523
381	2.797021362
382	2.792837615
383	2.787643158
384	2.782347687
385	2.778325653
386	2.775629593
387	2.771201601
388	2.767373243
389	2.764088039
390	2.760433528
391	2.757144837
392	2.752372894
393	2.748727947
394	2.746448757
395	2.742237632
396	2.737617863
397	2.731895253
398	2.728069624
399	2.725072337
400	2.721803653
401	2.716815244
402	2.713228172
403	2.709442247
404	2.706113497
405	2.703567487
406	2.699502739
407	2.696738781
408	2.694339958
409	2.692185043
410	2.687450528
411	2.684685502
412	2.680927537
413	2.679476018
414	2.676489908
415	2.672654722
416	2.669640425
417	2.667038715
418	2.664248736
419	2.661646595
420	2.658739117
421	2.655656991
422	2.653877432
423	2.651853246
424	2.649355014
425	2.644836545
426	2.64285555
427	2.638270647
428	2.636256516
429	2.635157303
430	2.633640671
431	2.631149694
432	2.630173068
433	2.627444707
434	2.626025055
435	2.623101694
436	2.620614462
437	2.617893291
438	2.614180496
439	2.612376223
440	2.608981054
441	2.607042564
442	2.604303025
443	2.600722546
444	2.598547649
445	2.59544107
446	2.59325698
447	2.590003375
448	2.586873354
449	2.582756346
450	2.577935312
451	2.575064439
452	2.571608892
453	2.568697717
454	2.566518273
455	2.563885254
456	2.560567148
457	2.557926475
458	2.555688729
459	2.552631823
460	2.549935405
461	2.548002008
462	2.544991975
463	2.542667805
464	2.53971359
465	2.537261141
466	2.535520481
467	2.533247877
468	2.529450369
469	2.527013459
470	2.524955807
471	2.523748004
472	2.52190873
473	2.519719073
474	2.516868231
475	2.513672759
476	2.511797972
477	2.508536834
478	2.505678217
479	2.502392466
480	2.499996219
481	2.496607254
482	2.495155165
483	2.492430377
484	2.490901764
485	2.489092986
486	2.486538054
487	2.481626577
488	2.479313307
489	2.476798995
490	2.475329856
491	2.472292627
492	2.469800744
493	2.467324607
494	2.465701228
495	2.46276945
496	2.459205347
497	2.456619444
498	2.453198653
499	2.450987205
500	2.448049646
501	2.445885351
502	2.444270325
503	2.442263726
504	2.440236204
505	2.437570306
506	2.434367482
507	2.431341356
508	2.427468353
509	2.424140567
510	2.42272379
511	2.421166406
512	2.418488555
513	2.415021953
514	2.413169934
515	2.411367559
516	2.410157231
517	2.407521595
518	2.406412764
519	2.40348738
520	2.402236461
521	2.401104275
522	2.399203504
523	2.396422922
524	2.394192109
525	2.391115249
526	2.38833983
527	2.385330757
528	2.383421619
529	2.382286361
530	2.380416627
531	2.37802512
532	2.374366393
533	2.372603462
534	2.369386617
535	2.367523991
536	2.364673914
537	2.362013333
538	2.361027558
539	2.359676012
540	2.358740174
541	2.358528573
542	2.355863828
543	2.354141923
544	2.352073168
545	2.348238222
546	2.344505836
547	2.344027253
548	2.342359063
549	2.340585357
550	2.33770584
551	2.337016935
552	2.335164327
553	2.333792458
554	2.332008397
555	2.329839444
556	2.328978109
557	2.327182879
558	2.324296435
559	2.321733017
560	2.318927163
561	2.316395281
562	2.314079795
563	2.310942393
564	2.307552917
565	2.305031965
566	2.302558267
567	2.301033826
568	2.299341362
569	2.298002516
570	2.295642397
571	2.292519036
572	2.289425246
573	2.286195982
574	2.284319609
575	2.282286006
576	2.279535174
577	2.276891627
578	2.27524258
579	2.274583969
580	2.271104103
581	2.269362458
582	2.268468577
583	2.267853518
584	2.266618243
585	2.264267481
586	2.262606644
587	2.260531814
588	2.259400161
589	2.258806768
590	2.255979621
591	2.254182165
592	2.251761477
593	2.2512718
594	2.249409763
595	2.248304583
596	2.246098348
597	2.243501238
598	2.243043382
599	2.240976993
600	2.238847455
601	2.23705991
602	2.23644378
603	2.234360926
604	2.231468171
605	2.231078574
606	2.228634966
607	2.226179691
608	2.224251626
609	2.22221989
610	2.219970065
611	2.217960269
612	2.216098459
613	2.214988428
614	2.212529629
615	2.211424629
616	2.210941056
617	2.207809701
618	2.204801496
619	2.202720055
620	2.200984542
621	2.199287474
622	2.197296708
623	2.195197963
624	2.194761536
625	2.192864524
626	2.19077308
627	2.189131962
628	2.186270517
629	2.184985909
630	2.184442366
631	2.181768676
632	2.179848648
633	2.178153506
634	2.176160661
635	2.174702653
636	2.174052981
637	2.172880705
638	2.170563157
639	2.169522491
640	2.169149227
641	2.166541752
642	2.164107807
643	2.161361337
644	2.160530697
645	2.158685225
646	2.156246903
647	2.153577611
648	2.151379868
649	2.149468146
650	2.146867279
651	2.145772486
652	2.142516006
653	2.140141651
654	2.138702189
655	2.137304518
656	2.136282304
657	2.134179218
658	2.13373105
659	2.131947304
660	2.13027786
661	2.127735185
662	2.125520945
663	2.123499722
664	2.12195543
665	2.12050262
666	2.119172759
667	2.11755822
668	2.114633251
669	2.112452557
670	2.110418425
671	2.108725939
672	2.108019684
673	2.106520126
674	2.105306539
675	2.103481956
676	2.101309088
677	2.100281963
678	2.098193887
679	2.097242982
680	2.094137103
681	2.092627332
682	2.08959873
683	2.086824258
684	2.083834083
685	2.082028084
686	2.0795111
687	2.078344936
688	2.077514182
689	2.076366319
690	2.075293619
691	2.073746872
692	2.071808129
693	2.069619169
694	2.06904672
695	2.066551398
696	2.065155833
697	2.064210702
698	2.06296297
699	2.061219553
700	2.060071411
701	2.057091474
702	2.055023103
703	2.054525763
704	2.053222743
705	2.052748332
706	2.05193438
707	2.050311684
708	2.048240682
709	2.046505403
710	2.044656676
711	2.042179545
712	2.040386157
713	2.03871266
714	2.037665268
715	2.035998097
716	2.034961234
717	2.03379836
718	2.03334501
719	2.03258216
720	2.031644046
721	2.029587178
722	2.027183997
723	2.025645369
724	2.023942196
725	2.021996001
726	2.020522033
727	2.018714714
728	2.017225127
729	2.013967054
730	2.012442245
731	2.010349867
732	2.008808848
733	2.006186981
734	2.004509864
735	2.003658328
736	2.001546101
737	2.000976988
738	1.999691245
739	1.997208421
740	1.995675876
741	1.993961654
742	1.992583351
743	1.991102918
744	1.989371072
745	1.98839051
746	1.986210362
747	1.984690701
748	1.983862967
749	1.982443673
750	1.980463972
751	1.979368997
752	1.978192433
753	1.976359012
754	1.974659225
755	1.973409704
756	1.971483774
757	1.969418692
758	1.968075857
759	1.966854242
760	1.966142263
761	1.964622281
762	1.961213487
763	1.959683354
764	1.958649885
765	1.957076192
766	1.954837607
767	1.952878066
768	1.950849833
769	1.949849666
770	1.948432566
771	1.947607908
772	1.946558202
773	1.94522987
774	1.944254933
775	1.943774368
776	1.941906257
777	1.940951505
778	1.939982641
779	1.938509508
780	1.937555989
781	1.93557259
782	1.934339159
783	1.932512191
784	1.930396848
785	1.928928437
786	1.926986978
787	1.925399695
788	1.923979652
789	1.922602377
790	1.920913078
791	1.919632299
792	1.918061078
793	1.916334431
794	1.915557927
795	1.9146305
796	1.913786328
797	1.911962907
798	1.911145743
799	1.908800879
800	1.907289232
801	1.905947388
802	1.905101317
803	1.904045791
804	1.902489807
805	1.901185503
806	1.898209379
807	1.896569204
808	1.895030984
809	1.893679178
810	1.892587299
811	1.891092014
812	1.890113225
813	1.889174053
814	1.88790668
815	1.886964342
816	1.885655465
817	1.884070969
818	1.882227747
819	1.880760871
820	1.879438441
821	1.877916427
822	1.876651715
823	1.875707318
824	1.874490874
825	1.872144026
826	1.870642301
827	1.870224315
828	1.869259555
829	1.867516614
830	1.866516689
831	1.86470362
832	1.863341777
833	1.862592911
834	1.8615724
835	1.859879552
836	1.858138416
837	1.856160849
838	1.854984316
839	1.853693242
840	1.852362938
841	1.851213123
842	1.84980896
843	1.848790408
844	1.847769603
845	1.846429664
846	1.844771781
847	1.843985417
848	1.843618109
849	1.841967186
850	1.840657921
851	1.839474176
852	1.83837312
853	1.837663155
854	1.836666234
855	1.835182214
856	1.83421705
857	1.833277514
858	1.832484361
859	1.831644615
860	1.829506777
861	1.829041596
862	1.827908833
863	1.826655078
864	1.825670283
865	1.824669145
866	1.8239326
867	1.823095982
868	1.821830456
869	1.821223689
870	1.820402729
871	1.819159923
872	1.818044003
873	1.816363776
874	1.815054743
875	1.813553593
876	1.81278206
877	1.811292691
878	1.809493745
879	1.808855258
880	1.807709861
881	1.806726863
882	1.805408834
883	1.804062954
884	1.802686902
885	1.801565088
886	1.800695842
887	1.799609734
888	1.798027557
889	1.796643446
890	1.795071506
891	1.793869038
892	1.793027975
893	1.792069933
894	1.790003143
895	1.7889615
896	1.788072868
897	1.786199773
898	1.785541992
899	1.783943866
900	1.782664683
901	1.779764908
902	1.778558931
903	1.777511242
904	1.77573941
905	1.773633702
906	1.772181785
907	1.77113977
908	1.769689336
909	1.767937203
910	1.765722772
911	1.764105377
912	1.763220532
913	1.76288116
914	1.761573106
915	1.7602181
916	1.759386069
917	1.758299995
918	1.756869263
919	1.754815194
920	1.753551355
921	1.75210791
922	1.750559403
923	1.749359717
924	1.74786085
925	1.746897848
926	1.745775933
927	1.744911354
928	1.744243827
929	1.743089427
930	1.742232285
931	1.741442591
932	1.74020346
933	1.739369559
934	1.738220919
935	1.736973154
936	1.735405745
937	1.733629434
938	1.73267151
939	1.731400511
940	1.72958599
941	1.729018745
942	1.7278296
943	1.726646617
944	1.725633695
945	1.724366438
946	1.723141978
947	1.722427406
948	1.720545342
949	1.719208169
950	1.71861146
951	1.717541646
952	1.716630977
953	1.714959767
954	1.713788019
955	1.713228726
956	1.71257657
957	1.709668485
958	1.708868675
959	1.706899707
960	1.705105384
961	1.70431141
962	1.702182344
963	1.701532853
964	1.700593715
965	1.699034502
966	1.697778513
967	1.696545494
968	1.696231423
969	1.694866727
970	1.694487028
971	1.692950558
972	1.691343224
973	1.689723212
974	1.688695966
975	1.688147816
976	1.687304943
977	1.685980585
978	1.683409964
979	1.68260838
980	1.681202792
981	1.680193618
982	1.679719516
983	1.678736441
984	1.677690534
985	1.677308365
986	1.676897769
987	1.675451016
988	1.674500348
989	1.673285333
990	1.672252808
991	1.671692286
992	1.671419369
993	1.670369216
994	1.669031655
995	1.668459937
996	1.66754613
997	1.666312021
998	1.664865151
999	1.663317517
