iter	Logloss
0	0.6496806802
1	0.611987632
2	0.5809999253
3	0.5525781975
4	0.5259210135
5	0.5034609475
6	0.4834486504
7	0.4646310021
8	0.4478369551
9	0.4342036528
10	0.4235395848
11	0.4133308429
12	0.4044695957
13	0.3975129909
14	0.3892868652
15	0.382877229
16	0.3777179831
17	0.3724246879
18	0.3680099377
19	0.3642042465
20	0.3604465238
21	0.3578264034
22	0.3540704587
23	0.351542956
24	0.3483862351
25	0.3451460184
26	0.3429244218
27	0.3413537249
28	0.3391201095
29	0.3372019461
30	0.3353863434
31	0.3338041041
32	0.3322667242
33	0.3309480457
34	0.3298532965
35	0.3284249745
36	0.3272404456
37	0.3263393516
38	0.3250883906
39	0.3240311216
40	0.3229096048
41	0.3220235343
42	0.3212821734
43	0.3202934058
44	0.3195560248
45	0.3187199104
46	0.3180055335
47	0.3173160685
48	0.3166987443
49	0.3159124936
50	0.3153873062
51	0.314799138
52	0.3140582196
53	0.3131813591
54	0.3124467657
55	0.3118908274
56	0.3115385653
57	0.3109396772
58	0.3105996112
59	0.310030519
60	0.309460878
61	0.3088454017
62	0.3083622479
63	0.3079609998
64	0.307632728
65	0.3073222959
66	0.3070291566
67	0.3066417512
68	0.3062032559
69	0.3056679746
70	0.3051067799
71	0.3046356003
72	0.3043825526
73	0.3039406248
74	0.3036950909
75	0.3033380013
76	0.3030112571
77	0.3021305953
78	0.3018730572
79	0.3016432901
80	0.3009977815
81	0.3007031638
82	0.3004682589
83	0.3000999373
84	0.2997745954
85	0.2992069041
86	0.2986195719
87	0.2983659287
88	0.2981431637
89	0.2978582068
90	0.2976284215
91	0.2973719667
92	0.2971574797
93	0.2970230323
94	0.2967944877
95	0.2965979828
96	0.2962237825
97	0.2960060496
98	0.2957585691
99	0.2955229799
100	0.2953696308
101	0.2951680126
102	0.2949516022
103	0.2947572023
104	0.2945849412
105	0.2940901801
106	0.2938492933
107	0.2936950888
108	0.293572282
109	0.293335433
110	0.2927820795
111	0.2926150818
112	0.2924442348
113	0.2922925548
114	0.2921405158
115	0.291937681
116	0.2917998948
117	0.2916363699
118	0.2914809872
119	0.291340429
